G-Load: 5.134009 --> Turn Rate: 108.870000 | Velocity: 58.162000
G-Load: 5.394216 --> Turn Rate: 114.600000 | Velocity: 58.162000
G-Load: 5.654871 --> Turn Rate: 120.330000 | Velocity: 58.162000
G-Load: 5.915915 --> Turn Rate: 126.060000 | Velocity: 58.162000
G-Load: 5.229029 --> Turn Rate: 108.870000 | Velocity: 59.280500
G-Load: 5.494418 --> Turn Rate: 114.600000 | Velocity: 59.280500
G-Load: 5.760249 --> Turn Rate: 120.330000 | Velocity: 59.280500
G-Load: 5.054047 --> Turn Rate: 103.140000 | Velocity: 60.399000
G-Load: 5.324113 --> Turn Rate: 108.870000 | Velocity: 60.399000
G-Load: 5.594683 --> Turn Rate: 114.600000 | Velocity: 60.399000
G-Load: 5.865687 --> Turn Rate: 120.330000 | Velocity: 60.399000
G-Load: 5.144008 --> Turn Rate: 103.140000 | Velocity: 61.517500
G-Load: 5.419260 --> Turn Rate: 108.870000 | Velocity: 61.517500
G-Load: 5.695008 --> Turn Rate: 114.600000 | Velocity: 61.517500
G-Load: 5.971181 --> Turn Rate: 120.330000 | Velocity: 61.517500
G-Load: 5.234031 --> Turn Rate: 103.140000 | Velocity: 62.636000
G-Load: 5.514466 --> Turn Rate: 108.870000 | Velocity: 62.636000
G-Load: 5.795388 --> Turn Rate: 114.600000 | Velocity: 62.636000
G-Load: 5.039059 --> Turn Rate: 97.410000 | Velocity: 63.754500
G-Load: 5.324113 --> Turn Rate: 103.140000 | Velocity: 63.754500
G-Load: 5.609728 --> Turn Rate: 108.870000 | Velocity: 63.754500
G-Load: 5.895822 --> Turn Rate: 114.600000 | Velocity: 63.754500
G-Load: 5.124011 --> Turn Rate: 97.410000 | Velocity: 64.873000
G-Load: 5.414251 --> Turn Rate: 103.140000 | Velocity: 64.873000
G-Load: 5.705043 --> Turn Rate: 108.870000 | Velocity: 64.873000
G-Load: 5.996307 --> Turn Rate: 114.600000 | Velocity: 64.873000
G-Load: 5.209019 --> Turn Rate: 97.410000 | Velocity: 65.991500
G-Load: 5.504442 --> Turn Rate: 103.140000 | Velocity: 65.991500
G-Load: 5.800409 --> Turn Rate: 108.870000 | Velocity: 65.991500
G-Load: 5.294080 --> Turn Rate: 97.410000 | Velocity: 67.110000
G-Load: 5.594683 --> Turn Rate: 103.140000 | Velocity: 67.110000
G-Load: 5.895822 --> Turn Rate: 108.870000 | Velocity: 67.110000
